"","市","區","里","count"
"1","新北市","三芝區","茂長里",50
"2","新北市","三芝區","埔坪里",285
"3","新北市","三芝區","埔頭里",444
"4","新北市","三芝區","海尾里",1
"5","新北市","三重區","?7德里",4
"6","新北市","三重區","二重里",57
"7","新北市","三重區","三民里",7
"8","新北市","三重區","三安里",107
"9","新北市","三重區","大同里",111
"10","新北市","三重區","大安里",18
"11","新北市","三重區","大有里",1051
"12","新北市","三重區","大園里",479
"13","新北市","三重區","大德里",8
"14","新北市","三重區","中山里",295
"15","新北市","三重區","中央里",772
"16","新北市","三重區","中正里",33
"17","新北市","三重區","中民里",26
"18","新北市","三重區","中興里",172
"19","新北市","三重區","五谷里",102
"20","新北市","三重區","五常里",66
"21","新北市","三重區","五華里",24
"22","新北市","三重區","五順里",906
"23","新北市","三重區","五福里",313
"24","新北市","三重區","仁華里",678
"25","新北市","三重區","仁義里",483
"26","新北市","三重區","仁德里",256
"27","新北市","三重區","介壽里",62
"28","新北市","三重區","六合里",8
"29","新北市","三重區","六福里",105
"30","新北市","三重區","文化里",192
"31","新北市","三重區","平和里",11
"32","新北市","三重區","正安里",201
"33","新北市","三重區","正義里",21
"34","新北市","三重區","正德里",44
"35","新北市","三重區","民生里",875
"36","新北市","三重區","永吉里",1007
"37","新北市","三重區","永春里",108
"38","新北市","三重區","永盛里",20
"39","新北市","三重區","永發里",832
"40","新北市","三重區","永順里",581
"41","新北市","三重區","永煇里",477
"42","新北市","三重區","永福里",50
"43","新北市","三重區","永德里",321
"44","新北市","三重區","永褔里",1
"45","新北市","三重區","永興里",129
"46","新北市","三重區","永豐里",214
"47","新北市","三重區","田中里",46
"48","新北市","三重區","田心里",656
"49","新北市","三重區","田安里",867
"50","新北市","三重區","立德里",6
"51","新北市","三重區","光正里",343
"52","新北市","三重區","光田里",167
"53","新北市","三重區","光明里",371
"54","新北市","三重區","光華里",394
"55","新北市","三重區","光陽里",77
"56","新北市","三重區","光榮里",4
"57","新北市","三重區","光輝里",18
"58","新北市","三重區","吉利里",64
"59","新北市","三重區","同安里",198
"60","新北市","三重區","同慶里",55
"61","新北市","三重區","安慶里",211
"62","新北市","三重區","成功里",292
"63","新北市","三重區","自強里",33
"64","新北市","三重區","秀江里",18
"65","新北市","三重區","谷王里",367
"66","新北市","三重區","尚德里",67
"67","新北市","三重區","幸福里",369
"68","新北市","三重區","幸褔里",1
"69","新北市","三重區","忠孝里",127
"70","新北市","三重區","承德里",163
"71","新北市","三重區","長元里",378
"72","新北市","三重區","長安里",23
"73","新北市","三重區","長江里",113
"74","新北市","三重區","長泰里",165
"75","新北市","三重區","長福里",141
"76","新北市","三重區","信安里",284
"77","新北市","三重區","厚德里",49
"78","新北市","三重區","奕壽里",432
"79","新北市","三重區","重明里",273
"80","新北市","三重區","重陽里",164
"81","新北市","三重區","重新里",69
"82","新北市","三重區","國隆里",46
"83","新北市","三重區","崇德里",189
"84","新北市","三重區","清和里",203
"85","新北市","三重區","頂崁里",208
"86","新北市","三重區","富華里",117
"87","新北市","三重區","富貴里",85
"88","新北市","三重區","菜寮里",47
"89","新北市","三重區","開元里",1140
"90","新北市","三重區","順德里",21
"91","新北市","三重區","慈生里",164
"92","新北市","三重區","慈祐里",504
"93","新北市","三重區","慈惠里",134
"94","新北市","三重區","慈愛里",61
"95","新北市","三重區","慈福里",3
"96","新北市","三重區","溪美里",852
"97","新北市","三重區","瑞德里",135
"98","新北市","三重區","萬壽里",379
"99","新北市","三重區","過田里",196
"100","新北市","三重區","碧華里",224
"101","新北市","三重區","福民里",157
"102","新北市","三重區","福田里",3
"103","新北市","三重區","福安里",26
"104","新北市","三重區","福利里",125
"105","新北市","三重區","福星里",1179
"106","新北市","三重區","福祉里",88
"107","新北市","三重區","福隆里",69
"108","新北市","三重區","福德里",394
"109","新北市","三重區","福樂里",189
"110","新北市","三重區","維德里",15
"111","新北市","三重區","德厚里",2
"112","新北市","三重區","錦田里",192
"113","新北市","三重區","錦安里",57
"114","新北市","三重區","錦江里",16
"115","新北市","三重區","錦通里",45
"116","新北市","三重區","龍門里",37
"117","新北市","三重區","龍濱里",368
"118","新北市","三重區","雙園里",157
"119","新北市","三重區","長生里",5
"120","新北市","三重區","培德里",4
"121","新北市","三重區","慈化里",4
"122","新北市","三重區","永清里",4
"123","新北市","三重區","?8元里",2
"124","新北市","三重區","３重里",1
"125","新北市","三重區","５?5里",2
"126","新北市","三重區","永輝里",2
"127","新北市","三重區","成?2里",1
"128","新北市","三重區","重德里",1
"129","新北市","三重區","博愛里",5
"130","新北市","三重區","富福里",1
"131","新北市","三重區","福?8里",1
"132","新北市","三重區","褔祉里",1
"133","新北市","三重區","褔隆里",2
"134","新北市","三峽區","二鬮里",90
"135","新北市","三峽區","八張里",346
"136","新北市","三峽區","三峽里",23
